sector,macro,tau,alpha,beta,t_beta,pseudo_r2
XLF,DXY,0.95,0.01618190686078411,-9.832315547616372e-05,-0.05293277859486097,0.00033549655837494807
XLF,DXY,0.99,0.02647310264408054,0.003964218606588573,2.5129572361468635,0.0066616546549952416
XLF,US2Y,0.01,-0.03757366072717761,0.007557218067756243,0.592006703545512,0.10730564724381841
XLF,US2Y,0.05,-0.01847895188505062,0.003232147721026717,1.2467382204671429,0.024696153230591822
XLF,US2Y,0.1,-0.011668198335980921,0.002044823478430028,1.5065174624645838,0.023327692845120263
XLF,US2Y,0.25,-0.005059220125578583,0.0001924301036066821,0.2811096613548206,0.00045972169942509744
XLF,US2Y,0.5,0.0008102012982235446,-0.0011291258976561457,-1.9154065430576195,0.008318414922785733
XLF,US2Y,0.75,0.006623229527149861,-0.001690015752728642,-2.6741398060593506,0.012023297919362297
XLF,US2Y,0.9,0.011101982484174901,-0.00024240116495914945,-0.24971380534117824,0.0005178180468525806
XLF,US2Y,0.95,0.016251375125394017,0.0008613170638593284,0.40190475338424625,0.007249719621907014
XLF,US2Y,0.99,0.030551614507313408,0.006494461875357601,1.3094580092961428,0.09098148279827656
XLF,US10Y,0.01,-0.03410100599343301,0.005619368332137122,0.7394283941671277,0.12048574483107732
XLF,US10Y,0.05,-0.018759069438102193,0.001610541759288743,0.49684693498704363,0.011261019736547917
XLF,US10Y,0.1,-0.01230367209663444,0.0022066803292654738,1.4741353265722252,0.015694248019394896
XLF,US10Y,0.25,-0.004819274652647187,-0.0005851892823637587,-0.8589773932549304,0.0005851273642721866
XLF,US10Y,0.5,0.001003257901225495,-0.0010724203951056113,-1.816451429418278,0.006040794187324616
XLF,US10Y,0.75,0.006417870791235567,-0.0014413821636772802,-2.4605935929269163,0.012002333100757823
XLF,US10Y,0.9,0.011226901574694316,-0.0003477055372924325,-0.4197442082965942,0.0004413072388006478
XLF,US10Y,0.95,0.016391185215631626,1.3091877645815857e-05,0.00554991404792301,5.88109487827948e-05
XLF,US10Y,0.99,0.025668091656770264,0.00017833680843643235,0.037404682049341914,0.002293399055537604
XLF,VIX,0.01,-0.01894539060727451,-0.007971064621493273,-1.8002050421733653,0.5023835966229535
XLF,VIX,0.05,-0.012074724577909592,-0.008931009953082174,-4.590230642086914,0.38301751671049467
XLF,VIX,0.1,-0.009315128774837643,-0.009306800299952494,-6.797735155081225,0.341492101727613
XLF,VIX,0.25,-0.003940150163338691,-0.00874442582283446,-12.104874158600072,0.2787822422589774
XLF,VIX,0.5,0.00042753132954122784,-0.00866041269035884,-17.702612477410696,0.25563826213051577
XLF,VIX,0.75,0.004857578129872304,-0.008577043393901912,-21.972340117980885,0.26104564242283346
XLF,VIX,0.9,0.009373420869500073,-0.007244301254853417,-10.54124866689975,0.25570851545482354
XLF,VIX,0.95,0.012211179978511158,-0.006898439333236917,-3.2200167685856,0.3023226158544422
XLF,VIX,0.99,0.019759268774109436,-0.00617514163479203,-2.6590246866820197,0.4486590094503562
XLE,OIL,0.01,-0.047891193065807774,0.014513913908162202,0.5587971944183332,0.29465262402533565
XLE,OIL,0.05,-0.017652048952080123,0.00834544328135509,3.1919358036357113,0.21369180901707074
XLE,OIL,0.1,-0.013197709369056012,0.007223408197675657,3.7126330454892824,0.19667323481503907
XLE,OIL,0.25,-0.005973614388416214,0.009466825415471851,11.817289326979655,0.20832075653665227
XLE,OIL,0.5,0.002337440154565968,0.008601820745793768,12.202814801297192,0.1862363159701571
XLE,OIL,0.75,0.007864137463940692,0.007186833564116343,10.46827068361333,0.16647862035789684
XLE,OIL,0.9,0.014407136163985782,0.00680840713073726,5.7229862882406595,0.12420651357488988
XLE,OIL,0.95,0.01898479845824659,0.007394664409506845,4.0729719853575075,0.10324773377550522
XLE,OIL,0.99,0.02784326040135358,0.004302396642483818,1.7066362813721623,0.08786581490025569
XLE,DXY,0.01,-0.03392702113970715,0.00812729824871276,1.9231736813380784,0.17442888029594172
XLE,DXY,0.05,-0.024220152387999874,0.0064450969046316794,1.7729320383328133,0.06635019925689523
XLE,DXY,0.1,-0.016360192073352743,0.004106446485883993,2.006583967972448,0.03018579511603592
XLE,DXY,0.25,-0.006867717731943888,0.002534383991728649,2.26306298806926,0.013917950273974466
XLE,DXY,0.5,0.0024980669802505922,0.0012997352859186048,1.4603696693716433,0.0032917916160413174
XLE,DXY,0.75,0.010239984308583576,0.0006766065535676782,0.8090798093973617,0.0026053418963649655
XLE,DXY,0.9,0.017108253613284562,0.0014808419809288537,1.3245887092440922,0.010048689945207023
XLE,DXY,0.95,0.021703511178910995,0.0012222744122396723,0.8020485089954547,0.010317491133218004
XLE,DXY,0.99,0.029547082049346318,0.0020950966977533133,1.56125062553115,0.005155736732273097
XLE,US2Y,0.01,-0.04683966289787572,0.010640998845052025,0.8854987841073167,0.18289918254718396
XLE,US2Y,0.05,-0.023081401528206976,0.0036366542379652296,1.8508223327752598,0.012128081502810306
XLE,US2Y,0.1,-0.016582126321919806,0.002430386046582331,1.7690700722784398,0.012496866983151445
XLE,US2Y,0.25,-0.007519668647507234,0.0017290770285609159,1.4594884470910159,0.00807742353422869
XLE,US2Y,0.5,0.002539713226731696,0.00015268245633601407,0.17256201313741146,0.00020386038787856275
XLE,US2Y,0.75,0.010387038758866547,0.000857001350383591,0.9388392167490487,0.0012367111973540235
XLE,US2Y,0.9,0.017252522915671434,0.0019245224843035633,1.6833709664262388,0.017948264762287613
XLE,US2Y,0.95,0.021947602048204354,0.00219288850769977,1.4454673936027926,0.029398042878974517
XLE,US2Y,0.99,0.03173414827680158,0.004547765368042,1.7414435633313512,0.08383905738187503
XLE,US10Y,0.01,-0.04827970881736541,0.011476111788528798,0.9283854426112792,0.17437012449109013
XLE,US10Y,0.05,-0.022295154040391996,0.0035292873539323455,1.061946292707657,0.026639700326931526
XLE,US10Y,0.1,-0.015196197961796441,0.00269246995243425,1.5362338062907364,0.029348069586276226
XLE,US10Y,0.25,-0.007127792886027514,0.00375834844007355,3.2788288517645143,0.02285984908236749
XLE,US10Y,0.5,0.0023633025812687235,0.003233445187679971,3.5651789115604546,0.019328711443713398
